horizon,model,forecast_step,lead_minutes,MAE,RMSE,MAPE
24h,LightGBM,17,255,17.3231719020824,24.71966302429118,11.75731032466309
24h,LightGBM,18,270,17.292023639509218,24.770632014840636,11.693762989138515
24h,LightGBM,19,285,17.19025905619934,24.501652742626913,11.54893868093916
24h,LightGBM,20,300,17.474668747010174,25.163092195033364,11.825651148315147
24h,LightGBM,21,315,17.410539482361177,24.98856481974152,11.8683164475659
24h,LightGBM,22,330,17.059428814195705,24.161325380711325,11.64773082463484
24h,LightGBM,23,345,17.82952165009305,25.681682230070614,12.217330440161566
24h,LightGBM,24,360,18.10650245886846,26.086046459215016,12.418146920663254
24h,LightGBM,25,375,18.16871874593541,26.16452666132506,12.414888461611445
24h,LightGBM,26,390,17.76855357468223,25.59521187513167,12.207858215612175
24h,LightGBM,27,405,17.946828860084747,25.806163613528568,12.285962251613853
24h,LightGBM,28,420,18.250520293459005,26.485658516561134,12.582018060845767
24h,LightGBM,29,435,18.404419405696157,26.518761597611366,12.544981677992844
24h,LightGBM,30,450,18.342379752270183,26.375029872297308,12.519092169414087
24h,LightGBM,31,465,18.65710585991339,27.014055470295887,12.71672814163205
24h,LightGBM,32,480,18.877118861995733,27.35264812277553,12.82797542354147
24h,LightGBM,33,495,18.350579480760665,26.425829045841894,12.437845681785767
24h,LightGBM,34,510,18.58246927484892,26.668146280059933,12.590248423454922
24h,LightGBM,35,525,18.835724071470064,27.16406523084406,12.735316939862024
24h,LightGBM,36,540,18.52442721215577,26.744340589758625,12.499806194223464
24h,LightGBM,37,555,19.28811893981004,28.16897363374994,12.934911156785894
24h,LightGBM,38,570,19.229511577640533,28.209062357658727,12.939695532173806
24h,LightGBM,39,585,19.09728585894671,27.856164448927245,12.850654967820333
24h,LightGBM,40,600,19.281113241749388,28.495547498115446,13.037880747534839
24h,LightGBM,41,615,19.471516920112176,28.79488510483582,13.036873936841012
24h,LightGBM,42,630,19.07911140871415,28.076474909938735,12.876374568226378
24h,LightGBM,43,645,19.48252987014998,28.754257466675902,13.230987879512163
24h,LightGBM,44,660,19.254776185420614,28.415031537631386,13.097418273122493
24h,LightGBM,45,675,19.454296047434134,28.726634781041383,13.201688714848364
24h,LightGBM,46,690,19.665557695907783,29.28415624605057,13.441284483199855
24h,LightGBM,47,705,20.452490967087474,31.503626463808178,14.500513089939664
